GEOID,NAME,crashes_per_1K_16_19,crashes_per_1K_20_23,pct_chg_16_19_to_20_23
42101030200,Census Tract 302,1.1460619361131432,0.5491076999875203,-52.08743239045063
42101033900,Census Tract 339,0.4158004158004158,0.32615786040443573,-21.559034572733214
42101035500,Census Tract 355,1.6126789934658696,0.9221446449743117,-42.819082488791175
42101002000,Census Tract 20,0.8356545961002786,0.4437869822485207,-46.89349112426036
42101024000,Census Tract 240,1.0442445434549659,0.7483162883512098,-28.33898026650482
42101001400,Census Tract 14,0.6716238906212522,0.34991252186953264,-47.9005248687828
42101008702,Census Tract 87.02,2.2743682310469313,1.304654442877292,-42.636622114760335
42101013602,Census Tract 136.02,0.49400248863446256,0.12578616352201258,-74.53734213572189
42101027600,Census Tract 276,2.727272727272727,1.795376291195278,-34.16953598950647
42101030000,Census Tract 300,2.1363636363636362,1.048951048951049,-50.90016366612111
42101018801,Census Tract 188.01,1.3635482045455147,1.0015814443858724,-26.54594527373455
42101003702,Census Tract 37.02,0.9228584950307619,0.8818813468733298,-4.440241746495088
42101006600,Census Tract 66,2.7721038809454335,2.237926972909305,-19.269729093050657
42101008801,Census Tract 88.01,3.103448275862069,2.1515015688032273,-30.673838338562675
42101013100,Census Tract 131,0.8413461538461539,0.6413682522715126,-23.768802015728784
42101020300,Census Tract 203,8.90165111270639,7.332293291731669,-17.629963263046655
42101029400,Census Tract 294,1.916058394160584,1.3017443374121322,-32.06134315220491
42101035602,Census Tract 356.02,0.498533724340176,0.13970382788488406,-71.97705570073796
42101000401,Census Tract 4.01,2.735433079006679,1.3831775700934579,-49.434786736009904
42101003001,Census Tract 30.01,0.4827419744146753,0.4371903235208394,-9.436024482658102
42101008802,Census Tract 88.02,1.3639181649101055,0.8609486679662117,-36.87680902593185
42101020000,Census Tract 200,16.823161189358373,17.801047120418847,5.812735906489697
42101025600,Census Tract 256,1.3287775246772968,0.9594882729211088,-27.791653975022832
42101033101,Census Tract 331.01,0.6359974560101759,0.7404664938911515,16.426015056152067
42101980902,Census Tract 9809.02,NA,NA,NA
42101010300,Census Tract 103,1.808972503617945,1.9756838905775076,9.215805471124616
42101004104,Census Tract 41.04,0.8351150915797724,1.0008114687584528,19.841142717854087
42101037600,Census Tract 376,11.209439528023598,7.74818401937046,-30.8780425640372
42101001101,Census Tract 11.01,1.8075491759702287,0.7612005219660721,-57.887700534759354
42101036502,Census Tract 365.02,0.37257824143070045,0.2567693744164332,-31.08309990662933
42101007900,Census Tract 79,0.8439731659813894,0.6325910931174089,-25.0460656078065
42101012000,Census Tract 120,2.779262426509888,2.0865936358894106,-24.9227559086714
42101021700,Census Tract 217,0.2502502502502503,0.2940667704549386,17.509081473793465
42101031402,Census Tract 314.02,1.6722408026755853,1.2253684384831927,-26.722967378705075
42101001001,Census Tract 10.01,1.1275272161741834,0.62569009937431,-44.50776084169912
42101012201,Census Tract 122.01,0.22479126525369297,0.2708192281651997,20.475868072347424
42101980903,Census Tract 9809.03,Inf,Inf,NA
42101015200,Census Tract 152,1.5014502644599896,1.0711297071129708,-28.660327120578156
42101014500,Census Tract 145,1.129305477131564,0.6311992786293958,-44.107303877367
42101016701,Census Tract 167.01,1.3399153737658673,0.9425878320479864,-29.65318179768186
42101025400,Census Tract 254,1.7452006980802792,1.2420718816067653,-28.829281183932352
42101002400,Census Tract 24,1.5784586815227482,1.125982579137455,-28.665691898174174
42101007300,Census Tract 73,2.6146419951729687,0.9711684370257967,-62.85654254698261
42101016600,Census Tract 166,5.58858501783591,3.698752228163993,-33.815944172640044
42101021100,Census Tract 211,2.636779613165787,1.0461061604029445,-60.32637103307387
42101027000,Census Tract 270,1.1619718309859155,0.5952380952380952,-48.77344877344877
42101031300,Census Tract 313,1.6027781487912383,0.9685900096859,-39.56805497901389
42101000801,Census Tract 8.01,0.07107320540156362,0.11527377521613834,62.19020172910663
42101000702,Census Tract 7.02,1.4317744647732267,0.400355871886121,-72.03778376159741
42101017400,Census Tract 174,4.36639772187945,3.664495114006515,-16.075095595524715
42101000102,Census Tract 1.02,5.450235958019125,4.038660683465654,-25.899342439964823
42101002500,Census Tract 25,0.9365894425190289,0.8047827086686594,-14.073053556515136
42101003002,Census Tract 30.02,0.40664181633344626,0.5676442762535477,39.59318826868496
42101003600,Census Tract 36,1.5915706866870782,1.099060014461316,-30.94494491167992
42101004202,Census Tract 42.02,1.689003120984028,1.1771097428467947,-30.30742642079901
42101006000,Census Tract 60,1.6804058338617627,1.0248447204968945,-39.012070784014995
42101007000,Census Tract 70,2.076777847702958,1.6188582788980401,-22.04952105548529
42101008101,Census Tract 81.01,1.6643550624133148,1.1221545367104842,-32.577214919311736
42101008500,Census Tract 85,3.035030492128776,2.7782041442824252,-8.462068124601018
42101009400,Census Tract 94,1.0343998075535241,0.9316770186335404,-9.930665896287739
42101009801,Census Tract 98.01,1.0455876202425762,0.5072181037846274,-51.48966055403823
42101010200,Census Tract 102,1.9933554817275747,1.371461920046688,-31.198327010991157
42101010700,Census Tract 107,3.0620924298270484,1.3824884792626728,-54.851510496671786
42101011200,Census Tract 112,0.7215975834871623,1.092896174863388,51.4550768839751
42101011400,Census Tract 114,1.1930883159626988,1.0083296799649275,-15.485746824089064
42101011800,Census Tract 118,1.1371020142949968,1.0499207606973058,-7.666968530676943
42101012100,Census Tract 121,1.740752253652471,1.2123197903014418,-30.35655776071896
42101013402,Census Tract 134.02,0.37761757638173704,0.2389894161829976,-36.71125733262982
42101013800,Census Tract 138,1.4130434782608696,0.6740491092922485,-52.298063034702416
42101014600,Census Tract 146,2.689075630252101,2.0231822971548996,-24.76290832455218
42101016100,Census Tract 161,1.526464244234279,0.8163265306122449,-46.52173913043478
42101016902,Census Tract 169.02,1.0092854259184496,1.1210191082802548,11.070573248407655
42101017100,Census Tract 171,3.8497003227293685,3.9888682745825603,3.615033384066746
42101038200,Census Tract 382,7.776731090249829,4.717985101099681,-39.332027218802615
42101019200,Census Tract 192,1.053871783395877,0.7291900381422481,-30.808467440641707
42101020102,Census Tract 201.02,2.7807486631016043,2.1168501270110074,-23.874812740181085
42101020900,Census Tract 209,1.5240328253223916,0.53475935828877,-64.91155902920609
42101038400,Census Tract 384,1.6168148746968474,0.6326611308817714,-60.869909054962434
42101023800,Census Tract 238,1.772089588973665,0.9822090437361009,-44.573397990280874
42101024900,Census Tract 249,1.3259668508287292,1.7214996174445294,29.829762815608273
42101025300,Census Tract 253,0.935620405435509,0.7545587927059316,-19.352037608168395
42101034801,Census Tract 348.01,1.5653357531760435,1.7376562831108284,11.008534723949737
42101026600,Census Tract 266,0.584966364434045,0.538243626062323,-7.987252124645883
42101027500,Census Tract 275,1.334411645774363,1.1570602099850011,-13.290609112336128
42101028000,Census Tract 280,1.6974917658981503,1.566951566951567,-7.6901815707785754
42101029000,Census Tract 290,1.0221254691858075,0.5377658274260572,-47.387493645528245
42101029900,Census Tract 299,1.7943409247757072,1.3407821229050279,-25.27718091963902
42101030800,Census Tract 308,1.463150289017341,0.8430123641813413,-42.38374755422338
42101031102,Census Tract 311.02,0.5726065048098946,0.33698399326032014,-41.14911541701769
42101032500,Census Tract 325,1.3160059220266491,1.1460855528652139,-12.911824051654563
42101033000,Census Tract 330,1.4141963557247756,0.7555943039814008,-46.570764312699794
42101033701,Census Tract 337.01,0.9248742495537887,0.4720460244873876,-48.961058790951405
42101033800,Census Tract 338,0.6127055788455337,0.4596996628869139,-24.97217607303579
42101034600,Census Tract 346,5.5576002944424,5.1511758118701,-7.312949133436675
42101034701,Census Tract 347.01,0.8563701923076924,0.3801782905086523,-55.605847339901935
42101034802,Census Tract 348.02,1.1956521739130435,0.9972008397480756,-16.597747948342768
42101035200,Census Tract 352,2.3603645711614862,1.856705985146352,-21.33816920355207
42101036100,Census Tract 361,1.3061650992685474,1.1057692307692308,-15.342307692307678
42101036400,Census Tract 364,10.8359133126935,6.673306772908366,-38.41491178144566
42101036203,Census Tract 362.03,1.053438038689906,0.9816207184628236,-6.817422343738134
42101001002,Census Tract 10.02,0.9972801450589301,0.7256488975718672,-27.23720599802094
42101001600,Census Tract 16,0.9730207872622734,0.4530477759472817,-53.43904448105437
42101980500,Census Tract 9805,Inf,Inf,NA
42101980600,Census Tract 9806,Inf,Inf,NA
42101010400,Census Tract 104,1.3232514177693762,0.8166713601802309,-38.28297863780826
42101023100,Census Tract 231,0.9826152683295541,0.8900190718372537,-9.423443689177958
42101989100,Census Tract 9891,7.334384858044165,19.683794466403164,168.37689659569043
42101011700,Census Tract 117,1.8018018018018018,0.7964161274265804,-55.798904927824786
42101016200,Census Tract 162,1.2340764331210192,0.6884681583476765,-44.21187052356893
42101001102,Census Tract 11.02,1.6823161189358373,1.0653930933137399,-36.67105240674607
42101989300,Census Tract 9893,124.06690641137448,142.51968503937007,14.873247960911385
42101036902,Census Tract 369.02,4.724116589020218,3.1594064145524174,-33.12175186583025
42101013702,Census Tract 137.02,1.2590162566432144,0.644545237526856,-48.805646144288815
42101980901,Census Tract 9809.01,Inf,Inf,NA
42101980003,Census Tract 9800.03,714.1963991914632,Inf,NA
42101980905,Census Tract 9809.05,Inf,Inf,NA
42101030502,Census Tract 305.02,0.6037402444411721,0.24769505985963947,-58.97324020715094
42101030600,Census Tract 306,1.1174670746308366,0.6117908787541714,-45.25199957624872
42101031000,Census Tract 310,1.318537859007833,0.6870229007633588,-47.89509485299674
42101031401,Census Tract 314.01,1.2078246028620192,0.7237635705669482,-40.077096554256045
42101031502,Census Tract 315.02,4.062572962876489,2.3513513513513513,-42.12162162162163
42101031900,Census Tract 319,1.499221183800623,0.709749719835637,-52.65877193408011
42101032000,Census Tract 320,0.9591629123673885,0.6604852025911343,-31.13941395409705
42101032600,Census Tract 326,1.2896825396825395,1.1123787792355961,-13.747860810039924
42101033102,Census Tract 331.02,1.0900745840504877,0.5911076843998971,-45.773647688998906
42101033600,Census Tract 336,1.010376843255052,0.7478122513922036,-25.986798254101362
42101033702,Census Tract 337.02,0.5107832009080591,0.311873468478503,-38.94210539343086
42101036301,Census Tract 363.01,2.876901798063624,1.9150503314510188,-33.43358703658238
42101036202,Census Tract 362.02,0.40370058873002523,0.34153005464480873,-15.40015938069217
42101003800,Census Tract 38,1.9872913995031105,1.6359387172163076,-17.67997800295683
42101002300,Census Tract 23,1.1604095563139931,0.3702457085156513,-68.09353158968064
42101002801,Census Tract 28.01,0.3518211920529801,0.25980160604629193,-26.155214093195134
42101002900,Census Tract 29,1.5962671905697445,0.7453096890259574,-53.309214558250794
42101003300,Census Tract 33,2.75348234531908,1.9249125039770918,-30.09170706144374
42101003701,Census Tract 37.01,0.7446632467317558,0.815418828762046,9.5016884935343
42101036201,Census Tract 362.01,0.20911752404851527,0.24532930741649367,17.31647480656726
